,c_mean_z,c_mean_y,c_std_z,c_std_y
0,694.1433622296893,872.1630662593893,15.736989348421261,50.40807441933768
1,694.1886919915135,872.2247365154144,15.888194019912026,50.499218921325
2,694.2371034133912,872.15529188613,15.864282186537034,50.45199962267978
3,694.2438448942163,872.2406357322025,15.981371664954489,50.50078366072489
4,694.3020247399435,872.1923969548332,16.045396169404405,50.42571875157196
5,694.3068688338926,872.2540190595573,16.175791474884775,50.45111005963325
6,694.300170460903,872.2326989649587,16.215808607690132,50.32361398760536
7,694.2603513293984,872.2401090166718,16.43959879409704,50.29185362056742
8,694.161506903152,872.2097593674853,16.537871477791242,50.23372869834652
9,693.9852055637855,872.1442828131542,16.750151619472266,50.22482777907526
10,693.8303817442077,872.0871367439654,16.80927840189035,50.0881287240902
11,693.6209065350129,872.0653142303518,17.023033412352174,50.063487956772654
12,693.3862455802407,872.038935873299,17.03935152487358,49.98301085391946
13,693.0717392049266,871.9862042385764,17.22010737165235,50.01330777060049
14,692.8230652149364,871.9415249454789,17.26990687465773,49.90891884329574
15,692.5185365345119,871.8591056529237,17.447760862726604,49.93381717174994
16,692.2174964414505,871.7372675996523,17.464086110255025,49.85337310817128
17,691.7956057824317,871.6561278712852,17.63812612809739,49.88118926012759
18,691.5897081538199,871.4516612042985,17.70491680023839,49.7786122339646
19,691.2600583482869,871.2921590802098,17.895250740075035,49.785697986773144
20,690.9644984280548,871.125525282983,17.858110384540527,49.70978165925319
21,690.5875667790499,871.209444113686,18.017422300406334,49.67056295377253
22,690.4722784357559,870.9793424076677,18.08133626295503,49.61050655153573
23,690.2754264977445,870.9426797666158,18.22939988076996,49.61942623447029
24,690.258272668034,870.6782264646316,18.158285153244623,49.60363033340584
25,690.1198275316269,870.57399955246,18.29254423081455,49.53349748940639
26,690.158221823676,870.3221813106379,18.331421741482846,49.51957050336425
27,690.28165348181,870.2328186351452,18.446728065324088,49.52464924213548
28,690.4505360444182,869.8933090832472,18.335689269574782,49.501959308073374
29,690.5864983096822,869.6860819507774,18.48370088330649,49.53106622818621
30,690.8760734026671,869.1323380040913,18.523421563146158,49.48242346224142
31,691.1675120807294,869.0982662256097,18.656457242206095,49.58638812618563
32,691.4339421527395,868.5853998029947,18.59667523362099,49.57923375368785
33,691.7680081120205,868.4890825691866,18.698928727877625,49.48988153147782
34,692.1205196698057,867.9380539790118,18.69438008143638,49.50346980299909
35,692.4581584667839,867.77144035114,18.812514965405555,49.567699407140616
36,692.7711535231219,867.3322976768632,18.77226854278462,49.580760157128424
37,693.0883345996567,867.2436540476617,18.797290410031025,49.604063967515685
38,693.3394267386357,866.7226209236965,18.731733050317807,49.628347891933295
39,693.5840577548214,866.4482298567955,18.79044628064432,49.57443660870003
40,693.7546333249246,866.123045103808,18.79191863638269,49.673289110238
41,693.9489606668978,866.0557838389083,18.854629280428302,49.78723676227048
42,694.0585840171386,865.409381108966,18.8686420069144,49.83517247354427
43,694.1904872723653,865.278795402508,18.92615338857507,49.96678928009585
44,694.2286813935698,864.8933247912239,18.91260331376133,49.97009223255069
45,694.4245733434843,864.7818074181444,18.906923515276993,50.04836308117656
46,694.3621478082994,864.2222292429528,18.878892040926782,50.24900865989123
47,694.4889092087717,863.9231483240738,18.84315968065546,50.49193002177741
48,694.3774724159457,863.5473511391772,18.807542781695336,50.53890893971909
49,694.5040362939916,863.3888685322731,18.698379991948734,50.66580786578419
50,694.4063859573818,862.9241190850437,18.649680665444393,50.924726440598896
51,694.5633523374358,862.7588413805707,18.58804851584284,51.33126320972358
52,694.4316159473276,862.6256857152906,18.55144825455574,51.56174097273413
53,694.6214240672268,862.8837548266151,18.459366638749472,51.82845418796052
54,694.5241258320315,862.5737802416977,18.391833930706902,52.09162229755824
55,694.7367427721135,862.6321803749503,18.32109490190502,52.452632081465644
56,694.5758902385797,862.4861893369377,18.28082172731479,52.764918773436875
57,694.814122196261,862.8197914911391,18.239158875781257,53.05658951290983
58,694.6750320408307,862.847672779054,18.196682317750838,53.34502780263945
59,694.9574305488736,863.2072800210773,18.131801337754577,53.64278199227526
60,694.8616295825344,863.0731013216199,18.026527221079032,53.861344551145294
61,695.0885403332659,863.6173140653218,17.944990041684342,54.16756918661682
62,694.9102903433775,863.724861156126,17.891315247682144,54.4845805908836
63,695.0103398679298,864.4089401061481,17.854564416057276,54.836878353655365
64,694.8323671774922,864.5522544256869,17.756298283154727,55.07130273995498
65,694.923602180942,865.1993431186136,17.736278840983456,55.20561824612516
66,694.7599849266098,865.5923817370965,17.64622855967648,55.42584565310991
67,694.829278315373,866.2410381993543,17.62007380673251,55.63683802490785
68,694.6589404819829,866.4113607553842,17.569076330731313,55.84840672986352
69,694.7005893193118,867.2406330674323,17.572864487094176,56.07151229708202
70,694.5251806291357,867.3422654589785,17.52068511833531,56.145240015634904
71,694.5530775308937,868.0972558480048,17.56723529832781,56.274833028448334
72,694.3871364255173,868.2808279148705,17.51661880084095,56.49750722935105
73,694.4452910723339,868.8558699133105,17.578876907353322,56.528685960211135
74,694.266600254497,869.0966181174524,17.49415331277226,56.596382117603376
75,694.3391546561211,869.847026114954,17.572185599801774,56.71240433014364
76,694.1565102146847,870.2139030770829,17.538113841571192,56.7553818669237
77,694.228919526089,870.7865916063863,17.599841166379562,56.789035456696865
78,694.1097633068644,871.055093799839,17.545200487014462,56.96401691241083
79,694.2088184907033,871.6469680488933,17.60851901171169,56.898832627025406
80,694.1479162629885,871.8925211628623,17.603159717125813,56.9176024470987
81,694.2449440784515,872.754665142508,17.685172633386543,56.920480272503134
82,694.2167096321297,873.1920785584822,17.69788627330387,57.004005590192335
83,694.3599603166899,873.7394478153003,17.81385225352932,56.89095645356324
84,694.3618238823548,874.0051176156114,17.875525925796577,57.018190312267535
85,694.4772652266624,874.5658860422496,17.970967507759894,56.83769294454638
86,694.4100190260372,874.7200911734893,17.97516356529008,56.76317532165126
87,694.5685423425213,875.282887638394,18.15548658475136,56.62842971824834
88,694.4279680262963,875.4946337737304,18.21161609080591,56.74908956334313
89,694.512946253046,875.7355416613082,18.41813512208357,56.605788907744326
90,694.4717759783002,875.9061327067254,18.387455332997312,56.632298737868794
91,694.5096611106533,876.3143803950327,18.53642822446527,56.43233612114881
92,694.4420196007219,876.4853741326267,18.534350695024983,56.469551682489715
93,694.473827665558,876.7971135312616,18.632605925676764,56.229328283758946
94,694.4115469970295,876.803647355115,18.65654363131043,56.311523659807676
95,694.4537146487932,877.2098094058146,18.68626625050191,56.05650359806576
